date,category,amount,payment_mode,day_type
2025-11-08,Entertainment,377,Card,Weekend
2025-11-09,Food,361,UPI,Weekend
2025-11-09,Travel,132,Card,Weekend
2025-11-09,Entertainment,583,Cash,Weekend
2025-11-10,Food,253,UPI,Weekday
2025-11-10,Travel,134,Cash,Weekday
2025-11-11,Food,325,Card,Weekday
2025-11-11,Travel,150,Cash,Weekday
2025-11-12,Food,176,Card,Weekday
2025-11-12,Travel,87,UPI,Weekday
2025-11-13,Food,188,Card,Weekday
2025-11-13,Travel,81,Card,Weekday
2025-11-13,Shopping,594,Cash,Weekday
2025-11-14,Food,347,UPI,Weekday
2025-11-14,Travel,6,Card,Weekday
2025-11-15,Food,148,Cash,Weekend
2025-11-15,Travel,48,UPI,Weekend
2025-11-15,Entertainment,115,Cash,Weekend
2025-11-16,Food,206,Cash,Weekend
2025-11-16,Travel,122,UPI,Weekend
2025-11-16,Entertainment,540,UPI,Weekend
2025-11-17,Food,181,Card,Weekday
2025-11-17,Travel,115,Card,Weekday
2025-11-18,Food,344,Cash,Weekday
2025-11-18,Travel,103,Card,Weekday
2025-11-19,Food,107,UPI,Weekday
2025-11-19,Travel,82,Card,Weekday
2025-11-19,Shopping,96,Cash,Weekday
2025-11-20,Food,198,Card,Weekday
2025-11-20,Travel,35,Card,Weekday
2025-11-20,Shopping,1410,Card,Weekday
2025-11-21,Food,344,Cash,Weekday
2025-11-21,Travel,13,UPI,Weekday
2025-11-22,Food,341,UPI,Weekend
2025-11-22,Travel,12,Card,Weekend
2025-11-22,Entertainment,40,UPI,Weekend
2025-11-23,Food,390,UPI,Weekend
2025-11-23,Travel,110,Card,Weekend
2025-11-23,Entertainment,414,Card,Weekend
2025-11-24,Food,196,UPI,Weekday
2025-11-24,Travel,112,Card,Weekday
2025-11-24,Shopping,1549,UPI,Weekday
2025-11-25,Food,104,UPI,Weekday
2025-11-25,Travel,56,Card,Weekday
2025-11-26,Food,352,UPI,Weekday
2025-11-26,Travel,114,UPI,Weekday
2025-11-27,Food,177,Card,Weekday
2025-11-27,Travel,124,UPI,Weekday
2025-11-27,Shopping,85,Card,Weekday
2025-11-28,Food,130,UPI,Weekday
2025-11-28,Travel,72,Card,Weekday
2025-11-29,Food,369,Card,Weekend
2025-11-29,Travel,53,UPI,Weekend
2025-11-29,Shopping,861,Cash,Weekend
2025-11-29,Entertainment,61,UPI,Weekend
2025-11-30,Food,112,Cash,Weekend
2025-11-30,Travel,22,Card,Weekend
2025-11-30,Entertainment,451,Cash,Weekend
2025-12-01,Food,295,Cash,Weekday
2025-12-01,Travel,86,UPI,Weekday
2025-12-02,Food,399,Card,Weekday
2025-12-02,Travel,72,Card,Weekday
2025-12-03,Food,274,UPI,Weekday
2025-12-03,Travel,120,Cash,Weekday
2025-12-03,Shopping,669,Cash,Weekday
2025-12-04,Food,338,UPI,Weekday
2025-12-04,Travel,37,UPI,Weekday
2025-12-05,Food,367,UPI,Weekday
2025-12-05,Travel,89,Card,Weekday
2025-12-06,Food,184,Card,Weekend
2025-12-06,Travel,64,Card,Weekend
2025-12-06,Entertainment,588,Card,Weekend
2025-12-07,Food,171,Cash,Weekend
2025-12-07,Travel,1,Cash,Weekend
2025-12-07,Entertainment,288,UPI,Weekend
2025-12-08,Food,257,UPI,Weekday
2025-12-08,Travel,109,Card,Weekday
2025-12-09,Food,320,UPI,Weekday
2025-12-09,Travel,26,Cash,Weekday
2025-12-09,Shopping,667,Card,Weekday
2025-12-10,Food,311,Card,Weekday
2025-12-10,Travel,147,Card,Weekday
2025-12-10,Shopping,421,UPI,Weekday
2025-12-11,Food,381,UPI,Weekday
2025-12-11,Travel,79,UPI,Weekday
2025-12-12,Food,200,UPI,Weekday
2025-12-12,Travel,105,UPI,Weekday
2025-12-13,Food,194,UPI,Weekend
2025-12-13,Travel,47,Card,Weekend
2025-12-13,Entertainment,424,Cash,Weekend
2025-12-14,Food,305,Cash,Weekend
2025-12-14,Travel,112,Cash,Weekend
2025-12-14,Entertainment,111,Cash,Weekend
2025-12-15,Food,210,Cash,Weekday
2025-12-15,Travel,28,UPI,Weekday
2025-12-16,Food,255,Cash,Weekday
2025-12-16,Travel,116,Card,Weekday
2025-12-17,Food,274,Card,Weekday
2025-12-17,Travel,113,UPI,Weekday
2025-12-18,Food,244,Card,Weekday
2025-12-18,Travel,135,UPI,Weekday
2025-12-19,Food,243,UPI,Weekday
2025-12-19,Travel,84,Card,Weekday
2025-12-20,Food,349,UPI,Weekend
2025-12-20,Travel,25,Card,Weekend
2025-12-20,Entertainment,690,UPI,Weekend
2025-12-21,Food,214,Card,Weekend
2025-12-21,Travel,93,UPI,Weekend
2025-12-21,Entertainment,3,UPI,Weekend
2025-12-22,Food,397,UPI,Weekday
2025-12-22,Travel,42,Card,Weekday
2025-12-22,Shopping,1966,Cash,Weekday
2025-12-23,Food,320,UPI,Weekday
2025-12-23,Travel,1,Card,Weekday
2025-12-24,Food,243,Card,Weekday
2025-12-24,Travel,88,Cash,Weekday
2025-12-25,Food,371,Card,Weekday
2025-12-25,Travel,60,Card,Weekday
2025-12-26,Food,378,Cash,Weekday
2025-12-26,Travel,98,UPI,Weekday
2025-12-27,Food,197,Cash,Weekend
2025-12-27,Travel,138,Card,Weekend
2025-12-27,Entertainment,678,Card,Weekend
2025-12-28,Food,375,Cash,Weekend
2025-12-28,Travel,84,UPI,Weekend
2025-12-28,Shopping,1340,Card,Weekend
2025-12-28,Entertainment,726,Card,Weekend
2025-12-29,Food,287,UPI,Weekday
2025-12-29,Travel,19,Card,Weekday
2025-12-30,Food,290,Cash,Weekday
2025-12-30,Travel,32,Cash,Weekday
2025-12-30,Shopping,868,Cash,Weekday
2025-12-31,Food,347,Card,Weekday
2025-12-31,Travel,22,Card,Weekday
